"","variable.name","display.section","definition","code.list","lag","source","validity.years","notes","calculation","display.via.web"
"11","bc_female","Prevalence surveys","Number of pulmonary bacteriologically-confirmed cases found among females",NA,NA,"External (from prevalence survey reports and analyses)",NA,NA,NA,0
"12","bc_male","Prevalence surveys","Number of pulmonary bacteriologically-confirmed cases found among males",NA,NA,"External (from prevalence survey reports and analyses)",NA,NA,NA,0
"13","bc_symptomatic","Prevalence surveys","Number of pulmonary bacteriologically-confirmed cases found who had screened positive for symptoms (regardless of chest x-ray result)",NA,NA,"External (from prevalence survey reports and analyses)",NA,NA,NA,0
"14","best","Disaggregated estimates","Best estimate",NA,0,"WHO GTB","2017 -","Part of long ('tidy') format added in 2018 dcyear",NA,1
"15","bf_acsm_gap","finance","ACSM    6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"16","bf_acsm_gf","finance","ACSM    4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"17","bf_acsm_gov","finance","ACSM    2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"18","bf_acsm_grnt","finance","ACSM    5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"19","bf_acsm_loan","finance","ACSM    3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"20","bf_acsm_req","finance","ACSM    1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"21","bf_acsmctbc_gap","finance","ACSM and community TB care    6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"22","bf_acsmctbc_gf","finance","ACSM and community TB care    4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"23","bf_acsmctbc_gov","finance","ACSM and community TB care    2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"24","bf_acsmctbc_grnt","finance","ACSM and community TB care    5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"25","bf_acsmctbc_loan","finance","ACSM and community TB care    3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"26","bf_acsmctbc_req","finance","ACSM and community TB care     1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"27","bf_bldng_gap","finance","buildings    6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"28","bf_bldng_gf","finance","buildings    4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"29","bf_bldng_gov","finance","buildings    2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"30","bf_bldng_grnt","finance","buildings    5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"31","bf_bldng_loan","finance","buildings    3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"32","bf_bldng_req","finance","buildings     1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"33","bf_ctbc_gap","finance","Community-based care    6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"34","bf_ctbc_gf","finance","Community-based care    4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"35","bf_ctbc_gov","finance","Community-based care    2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"36","bf_ctbc_grnt","finance","Community-based care    5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"37","bf_ctbc_loan","finance","Community-based care    3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"38","bf_ctbc_req","finance","Community-based care    1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"39","bf_fld_gap","finance","Budget 1 TbDrugs   6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"40","bf_fld_gf","finance","Budget 1 TbDrugs   4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"41","bf_fld_gov","finance","Budget 1 TbDrugs   2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"42","bf_fld_grnt","finance","Budget 1 TbDrugs   5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"43","bf_fld_loan","finance","Budget 1 TbDrugs   3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"44","bf_fld_req","finance","Budget 1 TbDrugs   1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"45","bf_initiativ_gap","finance","Initiative    6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"46","bf_initiativ_gf","finance","Initiative    4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"47","bf_initiativ_gov","finance","Initiative    2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"48","bf_initiativ_grnt","finance","Initiative    5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"49","bf_initiativ_loan","finance","Initiative    3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"50","bf_initiativ_req","finance","Initiative     1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"51","bf_lab_gap","finance","lab supplies and equipment    6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"52","bf_lab_gf","finance","lab supplies and equipment    4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"53","bf_lab_gov","finance","lab supplies and equipment    2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"54","bf_lab_grnt","finance","lab supplies and equipment    5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"55","bf_lab_loan","finance","lab supplies and equipment    3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"56","bf_lab_req","finance","lab supplies and equipment     1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"57","bf_mdrmgt_gap","finance","mgm. of MDR-TB    6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"58","bf_mdrmgt_gf","finance","mgm. of MDR-TB    4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"59","bf_mdrmgt_gov","finance","mgm. of MDR-TB    2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"60","bf_mdrmgt_grnt","finance","mgm. of MDR-TB    5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"61","bf_mdrmgt_loan","finance","mgm. of MDR-TB    3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"62","bf_mdrmgt_req","finance","mgm. of MDR-TB    1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"63","bf_or_gap","finance","operational research    6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"64","bf_or_gf","finance","operational research    4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"65","bf_or_gov","finance","operational research    2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"66","bf_or_grnt","finance","operational research    5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"67","bf_or_loan","finance","operational research    3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"68","bf_or_req","finance","operational research    1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"69","bf_oth_gap","finance","Budget 7 Other     6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"70","bf_oth_gf","finance","Budget 7 Other     4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"71","bf_oth_gov","finance","Budget 7 Other     2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"72","bf_oth_grnt","finance","Budget 7 Other     5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"73","bf_oth_loan","finance","Budget 7 Other     3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"74","bf_oth_req","finance","Budget 7 Other     1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"75","bf_pal_gap","finance","PAL    6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"76","bf_pal_gf","finance","PAL    4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"77","bf_pal_gov","finance","PAL    2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"78","bf_pal_grnt","finance","PAL    5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"79","bf_pal_loan","finance","PAL    3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"80","bf_pal_req","finance","PAL    1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"81","bf_ppm_gap","finance","PPM    6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"82","bf_ppm_gf","finance","PPM    4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"83","bf_ppm_gov","finance","PPM    2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"84","bf_ppm_grnt","finance","PPM    5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"85","bf_ppm_loan","finance","PPM    3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"86","bf_ppm_req","finance","PPM    1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"87","bf_ppmpal_gap","finance","PPM and PAL    6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"88","bf_ppmpal_gf","finance","PPM and PAL    4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"89","bf_ppmpal_gov","finance","PPM and PAL    2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"90","bf_ppmpal_grnt","finance","PPM and PAL    5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"91","bf_ppmpal_loan","finance","PPM and PAL    3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"92","bf_ppmpal_req","finance","PPM and PAL     1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"93","bf_prgmgt_gap","finance","routine prg mgm and supervision    6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"94","bf_prgmgt_gf","finance","routine prg mgm and supervision    4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"95","bf_prgmgt_gov","finance","routine prg mgm and supervision    2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"96","bf_prgmgt_grnt","finance","routine prg mgm and supervision    5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"97","bf_prgmgt_loan","finance","routine prg mgm and supervision    3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"98","bf_prgmgt_req","finance","routine prg mgm and supervision     1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"99","bf_sld_gap","finance","Budget 2 2ndLine   6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"100","bf_sld_gf","finance","Budget 2 2ndLine   4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"101","bf_sld_gov","finance","Budget 2 2ndLine   2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"102","bf_sld_grnt","finance","Budget 2 2ndLine   5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"103","bf_sld_loan","finance","Budget 2 2ndLine   3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"104","bf_sld_req","finance","Budget 2 2ndLine   1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"105","bf_srvy_gap","finance","Surveys  6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"106","bf_srvy_gf","finance","Surveys  4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"107","bf_srvy_gov","finance","Surveys   2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"108","bf_srvy_grnt","finance","Surveys  5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"109","bf_srvy_loan","finance","Surveys  3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"110","bf_srvy_req","finance","Surveys  1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"111","bf_staff_gap","finance","Budget 3 Staff     6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"112","bf_staff_gf","finance","Budget 3 Staff     4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"113","bf_staff_gov","finance","Budget 3 Staff     2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"114","bf_staff_grnt","finance","Budget 3 Staff     5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"115","bf_staff_loan","finance","Budget 3 Staff     3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"116","bf_staff_req","finance","Budget 3 Staff     1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"117","bf_tbhiv_gap","finance","Budget 5 TBHIV     6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"118","bf_tbhiv_gf","finance","Budget 5 TBHIV     4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"119","bf_tbhiv_gov","finance","Budget 5 TBHIV     2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"120","bf_tbhiv_grnt","finance","Budget 5 TBHIV     5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"121","bf_tbhiv_loan","finance","Budget 5 TBHIV     3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"122","bf_tbhiv_req","finance","Budget 5 TBHIV     1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"123","bf_tot_gap","finance","Budget 8 Total     6 Gap",NA,1,"Finance, Data collection form",NA,NA,NA,0
"124","bf_tot_gf","finance","Budget 8 Total     4 GFATM",NA,1,"Finance, Data collection form",NA,NA,NA,0
"125","bf_tot_gov","finance","Budget 8 Total     2 Gov",NA,1,"Finance, Data collection form",NA,NA,NA,0
"126","bf_tot_grnt","finance","Budget 8 Total     5 Grants",NA,1,"Finance, Data collection form",NA,NA,NA,0
"127","bf_tot_loan","finance","Budget 8 Total     3 Loans",NA,1,"Finance, Data collection form",NA,NA,NA,0
"128","bf_tot_req","finance","Budget 8 Total     1 Required",NA,1,"Finance, Data collection form",NA,NA,NA,0
"129","bf_tot_usaid","finance","Total expected funding from USAID (out of total expected funding in bf_tot_grnt)",NA,0,"Finance, Data collection form","2012-","Introduced 2013 data collection round",NA,0
"130","bf_tx_mdr_glc","finance","GLC, MDR expected to be treat. (final)",NA,1,"Finance, Data collection form",NA,NA,NA,0
"131","bf_tx_mdr_oth","finance","Other, MDR expected to be treat. (final)",NA,1,"Finance, Data collection form",NA,NA,NA,0
"132","bf_tx_snep","finance","Expected cases, new smear-negative",NA,1,"Finance, Data collection form",NA,NA,NA,0
"133","bf_tx_sp","finance","Expected cases, new smear-positive",NA,1,"Finance, Data collection form",NA,NA,NA,0
"134","bf_tx_tbhiv_art","finance","TB pts expected to start ART (final)",NA,1,"Finance, Data collection form",NA,NA,NA,0
"135","bmu","Community engagement","Number of TB Basic Management Units in the country",NA,0,"Strategy, Data collection form","stopped around 2011, resurrected 2014 when adopted by community egagement",NA,NA,1
"136","bmu_community_impl","Community engagement","Number of TB Basic Management Units which implemented community-based referrals or any form of community treatment adherence support",NA,NA,"Strategy, Data collection form","2015 -",NA,NA,1
"137","bmu_mdr","Strategy","Number of TB basic management units with at least one facility providing curative services for MDR-TB patients",NA,0,"Strategy, Data collection form","2010 -",NA,NA,0
"138","bmu_ref_data","Community engagement","Number of Basic Management Units with data on referrals by community health workers / community volunteers",NA,NA,"Strategy, Data collection form","2014 -",NA,NA,1
"139","bmu_refsrc_txloc_data","Strategy","Number of Basic Management Units providing data on source of patient referral and place of patient treatment",NA,0,"Strategy, Data collection form",NA,"NEW VARIABLE",NA,0
"140","bmu_rxsupport_data","Community engagement","Number of Basic Management Units with data on community treatment adherence support",NA,NA,"Strategy, Data collection form","2014 -","Record in wrong place because refers to year 2 years before the data collection year!",NA,1
"141","bmu_rxsupport_data_coh","Community engagement","Total number of patients who started TB treatment in the Basic Management Units with data on community treatment adherence support",NA,NA,"Strategy, Data collection form","2014 -","Record in wrong place because refers to year 2 years before the data collection year!",NA,1
"142","bp_acsm_gap","finance","ACSM    6 Gap Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"143","bp_acsm_gf","finance","ACSM    4 GFATM Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"144","bp_acsm_gov","finance","ACSM    2 Gov Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"145","bp_acsm_grnt","finance","ACSM    5 Grants Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"146","bp_acsm_loan","finance","ACSM    3 Loans Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"147","bp_acsm_req","finance","ACSM    1 Required Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"148","bp_ctbc_gap","finance","Community-based care    6 Gap Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"149","bp_ctbc_gf","finance","Community-based care    4 GFATM Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"150","bp_ctbc_gov","finance","Community-based care    2 Gov Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"151","bp_ctbc_grnt","finance","Community-based care    5 Grants Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"152","bp_ctbc_loan","finance","Community-based care    3 Loans Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"153","bp_ctbc_req","finance","Community-based care    1 Required Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"154","bp_fld_gap","finance","Budget 1 TbDrugs   6 Gap Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"155","bp_fld_gf","finance","Budget 1 TbDrugs   4 GFATM Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"156","bp_fld_gov","finance","Budget 1 TbDrugs   2 Gov Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"157","bp_fld_grnt","finance","Budget 1 TbDrugs   5 Grants Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"158","bp_fld_loan","finance","Budget 1 TbDrugs   3 Loans Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"159","bp_fld_req","finance","Budget 1 TbDrugs   1 Required Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"160","bp_lab_gap","finance","lab supplies and equipment    6 Gap Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"161","bp_lab_gf","finance","lab supplies and equipment    4 GFATM Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"162","bp_lab_gov","finance","lab supplies and equipment    2 Gov Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"163","bp_lab_grnt","finance","lab supplies and equipment    5 Grants Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"164","bp_lab_loan","finance","lab supplies and equipment    3 Loans Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"165","bp_lab_req","finance","lab supplies and equipment    1 Required Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"166","bp_mdrmgt_gap","finance","mgm. of MDR-TB    6 Gap Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"167","bp_mdrmgt_gf","finance","mgm. of MDR-TB    4 GFATM Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"168","bp_mdrmgt_gov","finance","mgm. of MDR-TB    2 Gov Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"169","bp_mdrmgt_grnt","finance","mgm. of MDR-TB    5 Grants Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"170","bp_mdrmgt_loan","finance","mgm. of MDR-TB    3 Loans Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"171","bp_mdrmgt_req","finance","mgm. of MDR-TB    1 Required Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"172","bp_or_gap","finance","operational research    6 Gap Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"173","bp_or_gf","finance","operational research    4 GFATM Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"174","bp_or_gov","finance","operational research    2 Gov Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"175","bp_or_grnt","finance","operational research    5 Grants Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"176","bp_or_loan","finance","operational research    3 Loans Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"177","bp_or_req","finance","operational research    1 Required Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"178","bp_oth_gap","finance","Budget 7 Other     6 Gap Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"179","bp_oth_gf","finance","Budget 7 Other     4 GFATM Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"180","bp_oth_gov","finance","Budget 7 Other     2 Gov Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"181","bp_oth_grnt","finance","Budget 7 Other     5 Grants Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"182","bp_oth_loan","finance","Budget 7 Other     3 Loans Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"183","bp_oth_req","finance","Budget 7 Other     1 Required Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"184","bp_pal_gap","finance","PAL    6 Gap Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"185","bp_pal_gf","finance","PAL    4 GFATM Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"186","bp_pal_gov","finance","PAL    2 Gov Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"187","bp_pal_grnt","finance","PAL    5 Grants Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"188","bp_pal_loan","finance","PAL    3 Loans Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"189","bp_pal_req","finance","PAL    1 Required Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"190","bp_ppm_gap","finance","PPM    6 Gap Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"191","bp_ppm_gf","finance","PPM    4 GFATM Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"192","bp_ppm_gov","finance","PPM    2 Gov Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"193","bp_ppm_grnt","finance","PPM    5 Grants Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"194","bp_ppm_loan","finance","PPM    3 Loans Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"195","bp_ppm_req","finance","PPM    1 Required Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"196","bp_prgmgt_gap","finance","routine prg mgm and supervision    6 Gap Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"197","bp_prgmgt_gf","finance","routine prg mgm and supervision    4 GFATM Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"198","bp_prgmgt_gov","finance","routine prg mgm and supervision    2 Gov Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"199","bp_prgmgt_grnt","finance","routine prg mgm and supervision    5 Grants Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"200","bp_prgmgt_loan","finance","routine prg mgm and supervision    3 Loans Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"201","bp_prgmgt_req","finance","routine prg mgm and supervision    1 Required Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"202","bp_sld_gap","finance","Budget 2 2ndLine   6 Gap Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"203","bp_sld_gf","finance","Budget 2 2ndLine   4 GFATM Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"204","bp_sld_gov","finance","Budget 2 2ndLine   2 Gov Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"205","bp_sld_grnt","finance","Budget 2 2ndLine   5 Grants Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"206","bp_sld_loan","finance","Budget 2 2ndLine   3 Loans Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"207","bp_sld_req","finance","Budget 2 2ndLine   1 Required Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"208","bp_srvy_gap","finance","Surveys  6 Gap Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"209","bp_srvy_gf","finance","Surveys  4 GFATM Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"210","bp_srvy_gov","finance","Surveys   2 Gov Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"211","bp_srvy_grnt","finance","Surveys  5 Grants Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"212","bp_srvy_loan","finance","Surveys  3 Loans Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"213","bp_srvy_req","finance","Surveys  1 Required Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"214","bp_staff_gap","finance","Budget 3 Staff     6 Gap Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"215","bp_staff_gf","finance","Budget 3 Staff     4 GFATM Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"216","bp_staff_gov","finance","Budget 3 Staff     2 Gov Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"217","bp_staff_grnt","finance","Budget 3 Staff     5 Grants Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"218","bp_staff_loan","finance","Budget 3 Staff     3 Loans Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"219","bp_staff_req","finance","Budget 3 Staff     1 Required Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"220","bp_tbhiv_gap","finance","Budget 5 TBHIV     6 Gap Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"221","bp_tbhiv_gf","finance","Budget 5 TBHIV     4 GFATM Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
"222","bp_tbhiv_gov","finance","Budget 5 TBHIV     2 Gov Pr",NA,2,"Finance, Data collection form",NA,NA,NA,0
